KINASE,kinase_top1_id,kinase_top5_id,kinase_top10_id
CDC7,O00311,O00311,O00311
TTBK1,Q5TCY1,Q5TCY1,Q5TCY1
FAM20C,Q8IXL6,Q8IXL6,Q8IXL6
SMG1,Q96Q15,Q96Q15,Q96Q15
PINK1,Q9BXM7,Q9BXM7,Q9BXM7
PINK1,Q9BXM7,Q9BXM7,Q9BXM7
IRAK1,P51617,P51617,P51617
CHAK2,Q9BX84,Q9BX84,Q9BX84
PDHK4,Q16654,Q16654,Q16654
PDHK4,Q16654,Q16654,Q16654
KIS,Q8TAS1,Q8TAS1,Q8TAS1
PRPK,Q96S44,Q96S44,Q96S44
HUNK,P57058,P57058,P57058
ERK5,Q13164,Q13164,Q13164
MOS,P00540,P00540,P00540
PDHK1,Q15118,Q15118,Q15118
PDHK1,Q15118,Q15118,Q15118
MASTL,Q96GX5,Q96GX5,Q96GX5
ULK1,O75385,O75385,O75385
CAMK2G,Q13555,Q13555,Q13555
RIPK3,Q9Y572,Q9Y572,Q9Y572
CK1D,P48730,P48730,P48730
BUB1,O43683,O43683,O43683
